общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL,Станция метро
0.0,0.0386100386100386,0.1590909090909091,0.36,0.0,0.9738805970149254,0.3076923076923077,53000.0,1.0,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,5,0.0277777777777777,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://realty.ya.ru/offer/3062891878865540353/;,Купчино
0.0,0.0,0.0,0.2,0.0,0.7686567164179104,0.6153846153846154,14500.0,0.5,2,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0.1666666666666666,0.0,0.0,1.0,0.0408284023668639,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://realty.ya.ru/offer/4394281686310516224/;,Ленинский проспект
0.0591397849462365,0.0,0.0,0.5,0.0,0.9925373134328358,0.3076923076923077,35000.0,0.5,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,4,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://realty.ya.ru/offer/4628782999801138809/;,Купчино
0.0672043010752688,0.0463320463320463,0.034090909090909,0.4444444444444444,0.0,0.8283582089552238,0.3846153846153846,25000.0,1.0,1,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2,0.3888888888888889,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://realty.ya.ru/offer/2043904757586326017/;,Озерки
0.0,0.0463320463320463,0.0,0.7,0.0,0.0,0.5384615384615384,50000.0,0.5,2,2,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,16.0,1.0,5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://realty.ya.ru/offer/1804760332132685883/;,Лиговский Проспект
0.0913978494623656,0.0463320463320463,0.0,0.22727272727272727,0.0,0.9328358208955224,0.3846153846153846,36000.0,1.0,2,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,0.2222222222222222,1.0,1.0,1.0,0.6940828402366864,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://realty.ya.ru/offer/4219056635137427457/;,Комендантский проспект
0.1317204301075268,0.0,0.0454545454545454,0.8,0.0,0.9776119402985076,0.4615384615384615,45000.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5,0.0555555555555555,1.0,0.0,1.0,0.2017751479289941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://realty.ya.ru/offer/6330279923616047180/;,Пролетарская
0.1854838709677419,0.1621621621621621,0.125,0.4,0.0,0.6828358208955224,0.6153846153846154,58000.0,3.0,2,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3,0.1111111111111111,1.0,0.0,1.0,0.0313609467455621,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://realty.ya.ru/offer/7567120673465029462/;,Новочеркасская
0.2204301075268817,0.0,0.0,0.08,0.0,0.9365671641791044,0.2307692307692307,75500.0,3.0,1,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5,0.1666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://realty.ya.ru/offer/5997181456756065506/;,Академическая
0.0913978494623656,0.0772200772200772,0.0454545454545454,0.6666666666666666,0.0,0.5261194029850746,0.3076923076923077,50000.0,1.0,1,2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3,0.0277777777777777,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://realty.ya.ru/offer/4057006479318481921/;,Петроградская
