общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Станция метро,Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,URL
43,?,?,4/19,?,?,Московские ворота,7,73500,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,?,1,1,1,?,Застройщик Группа «Эталон»,?,?,?,1,?,1,?,?,1,1,1,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8487830650291292904/;
28,26,?,2/4,"2,5",2020,Площадь Восстания,9,65000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,?,1,1,1,?,1,?,1,?,?,Кирпичное здание,5,1,?,1,?,?,?,?,?,?,1,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6535260454478844672/;
26,?,?,5/14,"2,7",2023,Купчино,5,36500,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,?,Застройщик PLG,1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/706274171667979009/;
50,?,?,2/5,?,1841,Достоевская,5,98000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,?,1,1,1,1,?,1,Кирпичное здание,1,1,?,1,4,1,?,?,?,?,1,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4447818695497704341/;
38,?,?,1/5,"3,4",1798,Садовая,7,60000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,?,1,1,?,1,?,1,Кирпичное здание,10,?,1,1,56,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6668606164115071275/;
40,25,?,3/5,"3,4",1803,Невский проспект,4,70000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,1,?,1,1,1,1,1,1,?,?,1,Кирпичное здание,3,1,?,1,?,?,?,?,1,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665139877/;
55,34,6,2/5,?,1959,Елизаровская,6,70000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,?,?,?,Монолитное здание,4,1,?,1,80,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665165853/;
45,20,12,12/25,"2,8",?,Пионерская,4,45000,1-комнатная квартира,?,?,?,?,1,1,1,1,1,?,?,?,1,?,12,1,1,1,28,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1148346587881156097/;
12,10,?,2/5,3,1878,Технологический институт,8,29800,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,5,?,?,1,72,1,?,?,?,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3334753212225834496/;
35,13,15,3/8,3,2023,Пушкинская,6,75000,1-комнатные апартаменты,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,?,Застройщик СК Новая линия,?,Кирпичное здание,?,1,?,1,?,?,?,?,1,?,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665165830/;
36,22,10,23/25,3,2018,Девяткино,9,30000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,1,1,1,1,1,1,1,?,1,Застройщик Лидер Групп,1,Кирпично-монолитное здание,2,1,1,1,689,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2097983767506586369/;
36,?,?,1/3,?,1874,Адмиралтейская,4,125500,1-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,1,?,1,Кирпичное здание,3,?,?,1,11,1,?,?,?,?,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2312299529835657942/;
"55,4","36,6",10,2/5,"3,05",1911,Владимирская,6,95000,2-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,1,?,?,1,Кирпичное здание,2,?,?,1,?,1,1,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8593723129471118733/;
"47,9","27,9",?,9/10,"2,75",2016,Удельная,9,68000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,1,1,1,1,1,1,1,1,1,Застройщик Bonava,?,?,?,1,?,?,?,?,?,?,1,?,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8423896129259437057/;
25,?,?,1/2,?,1916,Площадь Восстания,6,45000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,?,?,?,1,12,1,?,?,1,?,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2437009374517086209/;
22,16,?,18/26,"2,6",2021,Пролетарская,8,37000,квартира-студия,?,?,?,?,?,?,?,?,?,?,?,Застройщик ИПС,1,Монолитное здание,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7904186446725464064/;
17,13,?,1/4,"4,3",1904,Обводный канал,10,30000,квартира-студия,?,?,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,2,?,?,1,18,?,?,?,?,?,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6330279923591175605/;
45,?,?,12/29,"2,7",2022,Купчино,5,44990,1-комнатные апартаменты,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,?,?,Застройщик PLG,1,Монолитное здание,?,1,1,1,?,?,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4502810374082064641/;
14,13,?,4/4,"2,5",2020,Площадь Восстания,8,34000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,?,1,1,?,?,?,?,1,?,?,Кирпичное здание,9,?,?,1,37,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3498518921013997056/;
20,12,?,5/10,"2,8",2020,Лиговский Проспект,8,51300,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,1,Застройщик ГК «Пионер»,1,?,?,1,1,?,?,?,?,?,1,?,1,1,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7038531742989954816/;
31,?,?,1/3,"3,15",1865,Чернышевская,7,39990,квартира-студия,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,5,?,?,1,35,1,?,?,?,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2097501628387558913/;
59,38,7,2/5,3,1959,Елизаровская,4,33000,3-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,?,Панельное здание,3,?,?,1,60,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4706004378010484737/;
55,37,9,10/10,"2,65",1994,Проспект Большевиков,10,50000,2-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,?,1,1,1,1,1,1,1,?,?,Панельное здание,3,1,1,1,116,1,?,?,?,1,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3470410526671069184/;
33,?,?,7/11,"2,85",2015,Фрунзенская,6,40000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,1,Застройщик Лемминкяйнен,1,Монолитное здание,12,1,1,?,757,?,?,?,1,?,?,1,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2352918181362568960/;
"41,3",29,4,3/5,?,1961,Звёздная,6,40000,2-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,?,?,Кирпичное здание,4,?,?,1,64,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6330279923617954764/;
29,?,?,3/4,?,2003,Василеостровская,3,98000,апартаменты-студия,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,1,?,1,Монолитное здание,?,1,?,1,?,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6364922392075733018/;
24,21,?,15/18,"2,5",2023,Бухарестская,4,42000,апартаменты-студия,?,?,?,?,1,1,1,1,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6225526135977337460/;
