общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Станция метро,Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,URL
52,30,8,3/5,"2,5",1964,Политехническая,8,30000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,5,?,?,1,80,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7773062123602438657/;
33,?,?,1/12,3,2020,Старая Деревня,9,52500,1-комнатная квартира,Отделка — евроремонт,совмещённый,1,1,1,1,?,1,1,?,1,Застройщик Setl Group,1,Кирпично-монолитное здание,?,1,1,1,?,?,1,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1955600061620164372/;
20,16,?,1/5,3,1908,Чернышевская,5,24000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,3,?,?,1,?,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5301039805253375489/;
75,37,18,6/13,"2,8",2011,Новочеркасская,9,90000,3-комнатная квартира,Отделка — евроремонт,раздельный,?,1,1,1,1,1,1,1,1,Застройщик Группа «Эталон»,1,Монолитное здание,7,1,1,1,?,?,?,?,1,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7798839243381490177/;
"30,3","13,9",10,6/10,?,2023,Ломоносовская,10,40000,1-комнатная квартира,Отделка — евроремонт,совмещённый,1,1,1,1,1,1,1,?,?,Застройщик Setl Group,1,Кирпично-монолитное здание,?,1,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4067135553785046728/;
25,?,?,2/10,?,2021,Ломоносовская,10,38990,квартира-студия,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,?,1,Застройщик Setl Group,1,?,?,1,?,1,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5077541695548333057/;
22,13,?,5/14,?,2022,Кировский завод,3,30000,апартаменты-студия,?,совмещённый,?,?,?,1,?,1,1,?,?,Застройщик Петербургская Строительная Компания,1,Кирпично-монолитное здание,?,1,?,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/9090845958708891613/;
65,?,15,5/22,?,2019,Фрунзенская,5,65000,2-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,1,?,?,?,?,?,?,?,1,Застройщик Юнит,?,Кирпично-монолитное здание,?,?,?,1,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4628782999801821030/;
20,?,?,2/7,"2,67",1879,Горьковская,9,47500,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,?,?,1,Кирпичное здание,?,?,?,1,19,1,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3931936790584735713/;
"128,6",81,13,4/4,"3,4",1817,Адмиралтейская,2,125000,3-комнатная квартира,Отделка — дизайнерский ремонт,?,?,1,1,1,1,1,1,1,1,?,1,Кирпичное здание,3,?,?,1,?,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6111201048602226177/;
80,37,22,16/19,?,?,Фрунзенская,9,83000,2-комнатная квартира,Отделка — евроремонт,раздельный,?,?,1,1,1,1,1,1,?,Застройщик Л1 cтроительная компания №1,?,Кирпичное здание,?,1,?,1,?,?,?,?,1,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665169606/;
21,?,?,2/7,3,2023,Пушкинская,5,39000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,?,1,?,1,?,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1342938000322735360/;
60,17,20,3/5,"3,5",1906,Маяковская,5,55000,1-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,1,1,1,1,1,1,1,?,?,1,Кирпичное здание,8,?,1,?,45,1,?,?,?,?,1,1,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3406772939782387968/;
20,?,?,2/4,"3,5",1878,Чернышевская,9,45000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,?,Кирпичное здание,?,?,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2511050210122428417/;
36,21,8,1/5,"2,4",1875,Адмиралтейская,5,85000,1-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,1,?,?,?,?,?,?,?,1,?,1,1,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/308849653360723457/;
21,?,?,1/5,"3,1",1854,Достоевская,5,65000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,1,?,1,Кирпичное здание,3,?,?,1,?,1,1,?,?,?,1,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3181540650664315871/;
45,30,8,5/5,3,1860,Спасская,3,55000,2-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,16,?,?,1,140,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3726153649519267841/;
115,64,21,7/7,?,1915,Петроградская,3,180000,2-комнатная квартира,Отделка — дизайнерский ремонт,?,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,5,1,?,1,37,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665169642/;
20,?,?,2/7,"2,67",1879,Горьковская,9,47500,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,?,?,1,Кирпичное здание,?,?,?,1,33,1,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8686113721336115716/;
"63,8",?,?,4/4,"2,95",?,Петроградская,3,120000,2-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,?,?,?,1,?,?,?,?,?,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4438255580809567744/;
13,12,?,1/3,3,1869,Лиговский Проспект,6,25000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,1,1,?,?,1,1,?,?,?,1,Кирпичное здание,?,?,?,1,?,1,?,?,?,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7419635719179846144/;
10,8,?,2/6,"3,4",1882,Лиговский Проспект,8,26800,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,9,1,?,1,14,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/159157431152789248/;
21,12,?,1/5,3,1880,Площадь Александра Невского,6,30000,квартира-студия,Отделка — дизайнерский ремонт,раздельный,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,5,?,?,?,?,1,?,?,?,?,1,1,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7629443351619493121/;
86,56,9,6/6,"3,3",1956,Петроградская,9,100000,3-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,1,1,?,1,Кирпичное здание,6,1,?,1,110,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/6679700454979428096/;
88,43,12,3/8,3,2014,Спортивная,8,145000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,?,1,1,1,1,?,1,Монолитное здание,1,1,?,1,18,?,1,?,1,1,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1804760279747653508/;
28,17,?,15/18,?,2020,Бухарестская,4,42000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,?,"Застройщики TMG group, ЮИТ",?,Кирпично-монолитное здание,?,1,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7567097649787278751/;
115,98,12,3/5,3,1900,Достоевская,7,150000,3-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,1,1,1,1,1,1,1,1,?,1,Кирпичное здание,8,1,1,1,?,1,?,?,1,?,1,1,1,1,?,1,1,?,?,?,?,?,1,1,1,?,?,?,https://realty.ya.ru/offer/6989123673026285031/;
27,17,?,7/25,"2,7",2020,Фрунзенская,8,35000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,?,Застройщик Лидер Групп,1,?,6,?,1,1,?,?,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4447125898992589313/;
43,19,14,6/8,"2,75",2022,Московские ворота,10,55000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,1,1,1,1,?,1,1,1,1,Застройщик Группа «Эталон»,1,Кирпично-монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8190434148747487134/;
18,?,?,3/5,?,1883,Горьковская,5,42000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,1,1,1,?,1,1,?,1,?,1,Кирпичное здание,?,?,?,1,8,1,1,?,?,?,1,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1125935799403488424/;
49,32,6,4/9,?,1967,Новочеркасская,6,30000,2-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,?,?,1,1,1,1,?,?,?,1,Панельное здание,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/832420228223191808/;
52,40,7,7/7,3,2021,Звенигородская,8,80000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,?,Застройщик Красная стрела,1,Кирпичное здание,?,1,?,1,?,?,?,?,1,?,1,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665169578/;
42,17,13,7/14,"2,75",2014,Фрунзенская,8,65000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,1,?,1,1,1,1,1,1,?,Застройщик Группа «Эталон»,1,Кирпичное здание,2,1,1,1,155,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665138086/;
60,?,?,2/5,3,1960,Парк Победы,5,85000,2-комнатная квартира,Отделка — евроремонт,раздельный,?,?,1,1,1,1,1,?,1,?,?,Кирпичное здание,4,1,1,?,92,1,?,?,1,?,?,1,?,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/2838865100636585472/;
"56,2","41,3","5,2",3/5,"2,5",1963,Политехническая,9,50000,3-комнатная квартира,?,раздельный,?,?,?,1,?,1,1,?,1,?,1,Кирпичное здание,5,1,?,1,77,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5227535735059805369/;
67,?,?,6/6,3,1852,Площадь Восстания,3,85000,3-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,1,1,?,1,Кирпичное здание,4,1,?,1,?,1,?,?,?,?,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2221138285996564992/;
41,?,12,12/19,?,?,Фрунзенская,9,60000,1-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,1,?,?,1,1,1,1,1,1,Застройщик Л1 cтроительная компания №1,?,Кирпично-монолитное здание,?,?,?,1,?,?,?,?,?,?,1,1,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672994670083/;
"80,8",43,12,2/5,"3,5",1862,Пушкинская,6,60000,2-комнатная квартира,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,1,1,?,1,Кирпичное здание,3,?,?,1,23,1,?,?,?,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4083616317398731008/;
152,100,10,8/9,?,?,Петроградская,9,150000,4-комнатная квартира,Отделка — евроремонт,совмещённый,1,?,1,1,1,1,1,1,1,?,?,Кирпичное здание,?,?,?,1,?,?,?,?,1,?,1,?,?,1,?,?,1,?,?,?,?,?,?,?,1,?,?,?,https://realty.ya.ru/offer/6989123673026157348/;
62,?,?,2/5,3,1895,Горьковская,9,115500,3-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,?,1,1,1,1,?,1,Кирпичное здание,7,?,?,1,?,1,1,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4138816767180903755/;
51,25,20,3/19,?,?,Московские ворота,7,79000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,1,?,1,1,1,1,1,1,?,Застройщик Группа «Эталон»,?,Кирпичное здание,?,1,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665169605/;
90,70,12,4/4,?,1874,Маяковская,3,100000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,?,?,?,Кирпичное здание,?,1,?,1,85,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665168830/;
45,?,7,4/9,"2,5",1968,Академическая,10,45000,2-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,?,?,Панельное здание,7,1,1,1,392,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4050832582916655617/;
27,?,?,1/6,3,1894,Садовая,4,60000,1-комнатная квартира,Отделка — евроремонт,раздельный,?,1,1,1,?,1,1,?,?,?,1,Кирпичное здание,6,?,?,1,71,?,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6510833946947597851/;
24,21,?,10/18,"2,5",2023,Бухарестская,4,42000,апартаменты-студия,?,?,?,?,1,1,1,1,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5227616976259142188/;
16,?,?,2/5,"2,5",1873,Технологический институт,6,25999,квартира-студия,?,?,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,2,?,?,1,14,1,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5026423521125901056/;
38,18,"5,5",5/9,"2,5",1963,Московская,10,35000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,10,1,1,1,?,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6563764709193051137/;
110,63,18,6/10,3,2015,Электросила,4,130000,3-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,?,1,1,1,1,1,1,?,Застройщик СМ-Девелопмент,1,Кирпичное здание,4,1,1,1,113,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665169576/;
15,13,?,2/7,"3,2",1913,Площадь Восстания,5,31900,квартира-студия,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,?,1,?,1,52,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1275440869308046848/;
22,17,?,1/5,"3,1",1907,Чкаловская,7,30000,квартира-студия,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,3,?,?,1,?,1,?,?,?,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7658095175987476736/;
38,28,6,15/26,"2,75",2009,Пионерская,5,43000,1-комнатная квартира,Отделка — евроремонт,раздельный,1,?,1,1,?,1,1,?,1,?,1,Кирпичное здание,4,1,1,1,690,?,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7219196588733419521/;
27,21,?,1/2,"2,8",1948,Нарвская,5,40000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,2,?,?,1,12,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5659799907931858433/;
"24,2","20,1",?,6/21,"2,8",2021,Купчино,3,35000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,?,Застройщик PLG,1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6895478662070359809/;
36,26,8,23/26,"2,75",2009,Пионерская,5,42000,1-комнатная квартира,Отделка — евроремонт,раздельный,1,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,4,1,1,?,690,?,?,?,1,1,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3911185836315271937/;
28,?,?,12/16,3,2022,Фрунзенская,4,52500,апартаменты-студия,Отделка — евроремонт,совмещённый,1,1,1,1,?,1,1,?,1,Застройщик Группа Аквилон,1,Кирпично-монолитное здание,?,1,?,1,?,?,1,?,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5600704358056341898/;
46,22,12,7/16,"2,7",2018,Электросила,8,43000,1-комнатная квартира,Отделка — евроремонт,совмещённый,1,1,1,1,1,1,1,?,1,Застройщик СМ-Девелопмент,1,Кирпичное здание,10,1,1,?,?,?,?,?,1,?,1,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/314455190720558081/;
78,50,9,6/6,3,1798,Спасская,6,80000,3-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,1,1,?,1,Кирпичное здание,?,1,?,1,103,1,?,?,?,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672994700935/;
46,?,14,1/8,"2,75",2023,Московские ворота,10,65000,1-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,Застройщик Группа «Эталон»,1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3272202544832593920/;
37,17,8,3/9,"2,6",1975,Приморская,8,46000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,?,1,?,1,1,1,1,?,?,?,?,Панельное здание,8,1,1,1,435,1,?,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7382975962485011712/;
71,?,?,9/10,?,2020,Лиговский Проспект,8,300000,2-комнатные апартаменты,Отделка — дизайнерский ремонт,?,1,?,1,1,1,1,1,1,1,Застройщик ГК «Пионер»,1,?,?,1,1,?,?,?,?,?,1,1,1,1,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4608055923535510017/;
38,17,11,5/10,?,2023,Ломоносовская,9,55000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,?,Застройщик Setl Group,1,Кирпичное здание,?,1,1,1,?,?,?,?,1,?,1,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665168768/;
25,?,?,4/6,?,1874,Площадь Восстания,5,33000,квартира-студия,?,?,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,6,1,?,1,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/944612188814976513/;
42,27,10,10/12,"2,55",2004,Беговая,1,45000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,1,?,1,Монолитное здание,3,1,1,1,248,?,?,?,?,?,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672994853733/;
20,15,?,2/5,3,1908,Чернышевская,5,24000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,3,?,?,1,?,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5147611279242404353/;
80,44,10,6/6,3,1904,Фрунзенская,7,130000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,?,?,?,Кирпичное здание,4,1,?,?,51,?,?,?,?,?,1,?,?,?,?,?,1,1,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/6804352305948171776/;
28,19,?,15/16,"2,7",2014,Проспект Просвещения,7,40900,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,1,Застройщик ГК «Пионер»,1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2372780701816088064/;
"41,4",?,?,11/12,"2,5",1969,Проспект Ветеранов,7,44000,2-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,?,1,1,?,1,1,?,1,?,1,Кирпичное здание,1,?,1,1,83,1,1,?,?,1,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2991473288059666316/;
27,21,?,11/12,"2,6",2015,Лесная,5,38000,квартира-студия,Отделка — евроремонт,совмещённый,1,?,1,1,1,1,1,1,?,?,1,Кирпичное здание,?,1,1,1,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5974974156975369985/;
10,8,?,2/4,?,1876,Горьковская,9,32800,квартира-студия,Отделка — косметический ремонт,совмещённый,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,?,?,?,1,38,?,?,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1578841557520802816/;
15,14,?,4/4,"2,5",2020,Площадь Восстания,8,29000,квартира-студия,Отделка — косметический ремонт,?,?,?,1,1,?,?,?,?,1,?,?,?,?,1,?,1,?,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2107565449281087232/;
70,?,?,2/5,?,1901,Чкаловская,6,82990,3-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,2,1,?,1,?,1,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7483019284972708353/;
34,12,"11,4",4/11,"2,75",2023,Лиговский Проспект,6,65000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,1,1,?,1,1,1,1,1,1,Застройщик АртИК,1,Монолитное здание,?,1,?,1,?,?,1,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6150729297862679583/;
83,49,"9,5",3/5,3,1957,Электросила,7,60000,2-комнатная квартира,Отделка — евроремонт,раздельный,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,5,?,1,1,?,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/1822584628447933953/;
70,35,19,3/4,3,1831,Садовая,7,80000,2-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,?,1,1,1,1,1,1,?,?,1,Кирпичное здание,6,?,?,1,51,1,?,?,?,?,1,1,1,?,?,1,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/1887397023165992961/;
39,18,9,14/18,"2,74",2021,Пионерская,10,50000,1-комнатная квартира,Отделка — косметический ремонт,?,?,?,1,1,1,1,1,1,1,"Застройщики Мегалит, Охта Групп",1,Кирпично-монолитное здание,?,1,1,1,?,?,1,?,1,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4471907011169513979/;
44,30,5,7/7,3,1917,Балтийская,6,62000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,?,1,1,?,?,Застройщик Ленинградская строительная компания,1,Кирпичное здание,4,1,1,1,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7667178063758558287/;
189,120,18,5/5,?,1910,Петроградская,6,120000,3-комнатная квартира,Отделка — евроремонт,раздельный,?,1,1,1,1,1,1,1,1,?,1,Кирпичное здание,21,1,1,1,?,1,?,?,1,?,1,1,1,1,?,?,1,?,?,?,?,?,?,1,1,1,?,?,https://realty.ya.ru/offer/6989123673026307041/;
31,?,?,4/14,3,2015,Фрунзенская,6,58000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,1,1,1,1,?,1,1,1,1,Застройщик Лемминкяйнен,1,Монолитное здание,12,1,?,1,757,?,?,?,1,?,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6457565123164569149/;
92,70,15,2/5,"2,8",1852,Гостиный двор,8,130000,4-комнатная квартира,Отделка — евроремонт,раздельный,?,?,1,1,1,1,1,1,?,?,1,Кирпичное здание,11,?,?,1,88,1,?,?,?,?,1,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665169609/;
