общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL,Станция метро
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,URL,0
43,0,0,0.21052631578947367,0,0,7,73500,1.0,1,2,0,1,1,1,0,1,1,1,0,17.0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/8487830650291292904/;,Московские ворота
28,26,0,0.5,"2,5",2020,9,65000,0.5,1,2,0,0,1,1,1,0,1,0,1,0.0,0,3,5,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/6535260454478844672/;,Площадь Восстания
26,0,0,0.35714285714285715,"2,7",2023,5,36500,0.5,3,2,0,1,1,1,1,1,1,0,0,12.0,1,5,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/706274171667979009/;,Купчино
50,0,0,0.4,0,1841,5,98000,0.5,3,2,0,1,1,1,0,1,1,1,1,0.0,1,3,1,1,0,1,4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/4447818695497704341/;,Достоевская
38,0,0,0.2,"3,4",1798,7,60000,1.0,1,2,0,1,1,1,0,1,1,0,1,0.0,1,3,10,0,1,1,56,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/6668606164115071275/;,Садовая
40,25,0,0.6,"3,4",1803,4,70000,0.5,3,2,1,0,1,1,1,1,1,1,0,0.0,1,3,3,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/5203055392665139877/;,Невский проспект
55,34,6,0.4,0,1959,6,70000,2.0,3,2,0,0,1,1,1,1,1,1,0,0.0,0,5,4,1,0,1,80,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/5203055392665165853/;,Елизаровская
45,20,12,0.48,"2,8",0,4,45000,1.0,0,0,0,0,1,1,1,1,1,0,0,0.0,1,0,12,1,1,1,28,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/1148346587881156097/;,Пионерская
12,10,0,0.4,3,1878,8,29800,0.5,3,2,0,1,1,1,1,1,1,0,1,0.0,1,3,5,0,0,1,72,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/3334753212225834496/;,Технологический институт
35,13,15,0.375,3,2023,6,75000,1.0,3,2,0,0,1,1,1,1,1,1,0,2.0,0,3,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/5203055392665165830/;,Пушкинская
