URL	Характеристики	Детали квартиры
https://realty.ya.ru/offer/3495145771625404928/;	общая (м²): 44; жилая (м²): 27; кухня (м²): 6; этаж: 5/5; потолки (м): 2,8; год постройки (год): 1959; Станция метро: Московская; Расстояние до метро (мин): 8; Стоимость (рубли): 50000; Тип квартиры:  2-комнатная квартира; отделка: Отделка — евроремонт; Санузел: раздельный; Балкон: 1; Вид из окон во двор: 1; Мебель: 1; Мебель на кухне: 1; Стиральная машина: 1; Холодильник: 1; Индивидуальный проект: 1; тип здания: Кирпичное здание; число квартир: 100; число подъездов: 5; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/1863134918708868864/;	общая (м²): 65; этаж: 1/5; потолки (м): 3,2; год постройки (год): 1897; Станция метро: Достоевская; Расстояние до метро (мин): 5; Стоимость (рубли): 80000; Тип квартиры:  3-комнатная квартира; отделка: Отделка — косметический ремонт; Несколько санузлов: 1; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Можно с детьми: 1; Индивидуальный проект: 1; тип здания: Кирпичное здание; число подъездов: 3; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/4226826279605724616/;	общая (м²): 36; этаж: 3/12; потолки (м): 2,5; год постройки (год): 1968; Станция метро: Удельная; Расстояние до метро (мин): 10; Стоимость (рубли): 42000; Тип квартиры:  1-комнатная квартира; отделка: Отделка — косметический ремонт; Санузел: совмещённый; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Без животных: 1; Без детей: 1; Индивидуальный проект: 1; тип здания: Кирпичное здание; число квартир: 84; число подъездов: 2; Лифт: 1; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/8355600260467506177/;	общая (м²): 12,7; жилая (м²): 10; этаж: 2/5; потолки (м): 2,5; год постройки (год): 1874; Станция метро: Технологический институт; Расстояние до метро (мин): 7; Стоимость (рубли): 33000; Тип квартиры:  квартира-студия; отделка: Отделка — дизайнерский ремонт; Санузел: совмещённый; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Стиральная машина: 1; Холодильник: 1; Индивидуальный проект: 1; реконструкция: 1; тип здания: Кирпичное здание; число подъездов: 1; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/9156344758238839040/;	общая (м²): 18; этаж: 1/3; потолки (м): 3; год постройки (год): 1869; Станция метро: Лиговский Проспект; Расстояние до метро (мин): 6; Стоимость (рубли): 25999; Тип квартиры:  квартира-студия; Индивидуальный проект: 1; реконструкция: 1; тип здания: Кирпичное здание; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/8487830650291292904/;	общая (м²): 43; этаж: 4/19; Станция метро: Московские ворота; Расстояние до метро (мин): 7; Стоимость (рубли): 73500; Тип квартиры:  1-комнатная квартира; отделка: Отделка — косметический ремонт; Санузел: совмещённый; Балкон: 1; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Посудомойка: 1; Без животных: 1; Без детей: 1; застройщик: Застройщик Группа «Эталон»; Лифт: 1; Охрана/консьерж: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/6535260454478844672/;	общая (м²): 28; жилая (м²): 26; этаж: 2/4; потолки (м): 2,5; год постройки (год): 2020; Станция метро: Площадь Восстания; Расстояние до метро (мин): 9; Стоимость (рубли): 65000; Тип квартиры:  квартира-студия; отделка: Отделка — косметический ремонт; Санузел: совмещённый; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Холодильник: 1; Кондиционер: 1; Можно с животными: 1; Можно с детьми: 1; тип здания: Кирпичное здание; число подъездов: 5; Лифт: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/706274171667979009/;	общая (м²): 26; этаж: 5/14; потолки (м): 2,7; год постройки (год): 2023; Станция метро: Купчино; Расстояние до метро (мин): 5; Стоимость (рубли): 36500; Тип квартиры:  апартаменты-студия; отделка: Отделка — дизайнерский ремонт; Санузел: совмещённый; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; застройщик: Застройщик PLG; Индивидуальный проект: 1; тип здания: Монолитное здание; Лифт: 1; Мусоропровод: 1; Охрана/консьерж: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/4447818695497704341/;	общая (м²): 50; этаж: 2/5; год постройки (год): 1841; Станция метро: Достоевская; Расстояние до метро (мин): 5; Стоимость (рубли): 98000; Тип квартиры:  квартира-студия; отделка: Отделка — дизайнерский ремонт; Санузел: совмещённый; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Кондиционер: 1; Посудомойка: 1; Можно с животными: 1; Можно с детьми: 1; Индивидуальный проект: 1; тип здания: Кирпичное здание; число квартир: 4; число подъездов: 1; Лифт: 1; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/6668606164115071275/;	общая (м²): 38; этаж: 1/5; потолки (м): 3,4; год постройки (год): 1798; Станция метро: Садовая; Расстояние до метро (мин): 7; Стоимость (рубли): 60000; Тип квартиры:  1-комнатная квартира; отделка: Отделка — косметический ремонт; Санузел: совмещённый; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Без животных: 1; Можно с детьми: 1; Индивидуальный проект: 1; тип здания: Кирпичное здание; число квартир: 56; число подъездов: 10; Мусоропровод: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/5203055392665139877/;	общая (м²): 40; жилая (м²): 25; этаж: 3/5; потолки (м): 3,4; год постройки (год): 1803; Станция метро: Невский проспект; Расстояние до метро (мин): 4; Стоимость (рубли): 70000; Тип квартиры:  квартира-студия; отделка: Отделка — дизайнерский ремонт; Санузел: совмещённый; Лоджия: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Кондиционер: 1; Посудомойка: 1; Индивидуальный проект: 1; тип здания: Кирпичное здание; число подъездов: 3; Лифт: 1; Охрана/консьерж: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/5203055392665165853/;	общая (м²): 55; жилая (м²): 34; кухня (м²): 6; этаж: 2/5; год постройки (год): 1959; Станция метро: Елизаровская; Расстояние до метро (мин): 6; Стоимость (рубли): 70000; Тип квартиры:  2-комнатная квартира; отделка: Отделка — дизайнерский ремонт; Санузел: совмещённый; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Посудомойка: 1; тип здания: Монолитное здание; число квартир: 80; число подъездов: 4; Лифт: 1; Охрана/консьерж: 1; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/1148346587881156097/;	общая (м²): 45; жилая (м²): 20; кухня (м²): 12; этаж: 12/25; потолки (м): 2,8; Станция метро: Пионерская; Расстояние до метро (мин): 4; Стоимость (рубли): 45000; Тип квартиры:  1-комнатная квартира; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Индивидуальный проект: 1; число квартир: 28; число подъездов: 12; Лифт: 1; Мусоропровод: 1; Охрана/консьерж: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/3334753212225834496/;	общая (м²): 12; жилая (м²): 10; этаж: 2/5; потолки (м): 3; год постройки (год): 1878; Станция метро: Технологический институт; Расстояние до метро (мин): 8; Стоимость (рубли): 29800; Тип квартиры:  квартира-студия; отделка: Отделка — дизайнерский ремонт; Санузел: совмещённый; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Можно с детьми: 1; Индивидуальный проект: 1; реконструкция: 1; тип здания: Кирпичное здание; число квартир: 72; число подъездов: 5; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/5203055392665165830/;	общая (м²): 35; жилая (м²): 13; кухня (м²): 15; этаж: 3/8; потолки (м): 3; год постройки (год): 2023; Станция метро: Пушкинская; Расстояние до метро (мин): 6; Стоимость (рубли): 75000; Тип квартиры:  1-комнатные апартаменты; отделка: Отделка — дизайнерский ремонт; Санузел: совмещённый; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Кондиционер: 1; Посудомойка: 1; застройщик: Застройщик СК Новая линия; тип здания: Кирпичное здание; Лифт: 1; Охрана/консьерж: 1; Закрытая территория: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/2097983767506586369/;	общая (м²): 36; жилая (м²): 22; кухня (м²): 10; этаж: 23/25; потолки (м): 3; год постройки (год): 2018; Станция метро: Девяткино; Расстояние до метро (мин): 9; Стоимость (рубли): 30000; Тип квартиры:  1-комнатная квартира; отделка: Отделка — косметический ремонт; Санузел: совмещённый; Лоджия: 1; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Можно с детьми: 1; застройщик: Застройщик Лидер Групп; Индивидуальный проект: 1; тип здания: Кирпично-монолитное здание; число квартир: 689; число подъездов: 2; Лифт: 1; Мусоропровод: 1; Охрана/консьерж: 1; Открытая парковка: 1	
