@RELATION realty_data

@ATTRIBUTE общая_м² NUMERIC
@ATTRIBUTE жилая_м² NUMERIC
@ATTRIBUTE кухня_м² NUMERIC
@ATTRIBUTE этаж STRING
@ATTRIBUTE потолки_м NUMERIC
@ATTRIBUTE год_постройки_год NUMERIC
@ATTRIBUTE Станция_метро STRING
@ATTRIBUTE Расстояние_до_метро_мин NUMERIC
@ATTRIBUTE Стоимость_рубли NUMERIC
@ATTRIBUTE Тип_квартиры STRING
@ATTRIBUTE отделка STRING
@ATTRIBUTE Санузел STRING
@ATTRIBUTE Лоджия {0, 1}
@ATTRIBUTE Вид_из_окон_во_двор {0, 1}
@ATTRIBUTE Интернет {0, 1}
@ATTRIBUTE Мебель {0, 1}
@ATTRIBUTE Мебель_на_кухне {0, 1}
@ATTRIBUTE Стиральная_машина {0, 1}
@ATTRIBUTE Холодильник {0, 1}
@ATTRIBUTE Посудомойка {0, 1}
@ATTRIBUTE Можно_с детьми {0, 1}
@ATTRIBUTE застройщик STRING
@ATTRIBUTE Индивидуальный_проект {0, 1}
@ATTRIBUTE тип_здания STRING
@ATTRIBUTE число_подъездов NUMERIC
@ATTRIBUTE Лифт {0, 1}
@ATTRIBUTE Мусоропровод {0, 1}
@ATTRIBUTE Открытая_парковка {0, 1}
@ATTRIBUTE число_квартир NUMERIC
@ATTRIBUTE Центральное_отопление {0, 1}
@ATTRIBUTE Без животных {0, 1}
@ATTRIBUTE Без детей {0, 1}
@ATTRIBUTE Охрана/консьерж {0, 1}
@ATTRIBUTE Вид_из_окон_на_улицу {0, 1}
@ATTRIBUTE Телевизор {0, 1}
@ATTRIBUTE Закрытая_территория {0, 1}
@ATTRIBUTE Балкон {0, 1}
@ATTRIBUTE Можно_с животными {0, 1}
@ATTRIBUTE Несколько_санузлов {0, 1}
@ATTRIBUTE реконструкция {0, 1}
@ATTRIBUTE Кондиционер {0, 1}
@ATTRIBUTE Закрытая_парковка {0, 1}
@ATTRIBUTE Автономное_отопление {0, 1}
@ATTRIBUTE Подземная_парковка {0, 1}
@ATTRIBUTE Встроенная_техника {0, 1}
@ATTRIBUTE Вид_из_окон_во_двор_и_на_улицу {0, 1}
@ATTRIBUTE На_полу_паркет {0, 1}
@ATTRIBUTE Телефон {0, 1}
@ATTRIBUTE Сигнализация {0, 1}
@ATTRIBUTE На_полу_ламинат {0, 1}
@ATTRIBUTE Две_лоджии {0, 1}
@ATTRIBUTE Два_балкона {0, 1}
@ATTRIBUTE URL STRING

@DATA
42.0,26.0,8.0,'2/3',?,1897.0,'Петроградская',5.0,50000.0,'1-комнатная квартира','Отделка — косметический ремонт','совмещённый',0,0,1,1,1,1,1,1,0,'?',1,'Кирпичное здание',2.0,0,0,1,?,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/4057006479318481921/;'
44.0,27.0,6.0,'5/5',?,1959.0,'Московская',8.0,50000.0,'2-комнатная квартира','Отделка — евроремонт','раздельный',0,1,0,1,1,1,1,0,0,'?',1,'Кирпичное здание',5.0,0,0,1,100.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/3495145771625404928/;'
65.0,?,?,'1/5',?,1897.0,'Достоевская',5.0,80000.0,'3-комнатная квартира','Отделка — косметический ремонт','?',0,1,1,1,1,1,1,0,1,'?',1,'Кирпичное здание',3.0,0,0,1,?,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/1863134918708868864/;'
36.0,?,?,'3/12',?,1968.0,'Удельная',10.0,42000.0,'1-комнатная квартира','Отделка — косметический ремонт','совмещённый',0,1,1,1,0,1,1,0,0,'?',1,'Кирпичное здание',2.0,1,0,1,84.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/4226826279605724616/;'
?,10.0,?,'2/5',?,1874.0,'Технологический институт',7.0,33000.0,'квартира-студия','Отделка — дизайнерский ремонт','совмещённый',0,1,1,1,1,1,1,0,0,'?',1,'Кирпичное здание',1.0,0,0,1,?,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/8355600260467506177/;'
18.0,?,?,'1/3',3.0,1869.0,'Лиговский Проспект',6.0,25999.0,'квартира-студия','?','?',0,0,0,0,0,0,0,0,0,'?',1,'Кирпичное здание',?,0,0,1,?,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/9156344758238839040/;'
43.0,?,?,'4/19',?,?,'Московские ворота',7.0,73500.0,'1-комнатная квартира','Отделка — косметический ремонт','совмещённый',0,1,1,1,0,1,1,1,0,'Застройщик Группа «Эталон»',0,'?',?,1,0,1,?,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/8487830650291292904/;'
28.0,26.0,?,'2/4',?,2020.0,'Площадь Восстания',9.0,65000.0,'квартира-студия','Отделка — косметический ремонт','совмещённый',0,0,1,1,1,0,1,0,1,'?',0,'Кирпичное здание',5.0,1,0,1,?,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/6535260454478844672/;'
26.0,?,?,'5/14',?,2023.0,'Купчино',5.0,36500.0,'апартаменты-студия','Отделка — дизайнерский ремонт','совмещённый',0,1,1,1,1,1,1,0,0,'Застройщик PLG',1,'Монолитное здание',?,1,1,1,?,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/706274171667979009/;'
50.0,?,?,'2/5',?,1841.0,'Достоевская',5.0,98000.0,'квартира-студия','Отделка — дизайнерский ремонт','совмещённый',0,1,1,1,0,1,1,1,1,'?',1,'Кирпичное здание',1.0,1,0,1,4.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/4447818695497704341/;'
38.0,?,?,'1/5',?,1798.0,'Садовая',7.0,60000.0,'1-комнатная квартира','Отделка — косметический ремонт','совмещённый',0,1,1,1,0,1,1,0,1,'?',1,'Кирпичное здание',10.0,0,1,1,56.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/6668606164115071275/;'
40.0,25.0,?,'3/5',?,1803.0,'Невский проспект',4.0,70000.0,'квартира-студия','Отделка — дизайнерский ремонт','совмещённый',1,0,1,1,1,1,1,1,0,'?',1,'Кирпичное здание',3.0,1,0,1,?,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/5203055392665139877/;'
55.0,34.0,6.0,'2/5',?,1959.0,'Елизаровская',6.0,70000.0,'2-комнатная квартира','Отделка — дизайнерский ремонт','совмещённый',0,0,1,1,1,1,1,1,0,'?',0,'Монолитное здание',4.0,1,0,1,80.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/5203055392665165853/;'
45.0,20.0,12.0,'12/25',?,?,'Пионерская',4.0,45000.0,'1-комнатная квартира','?','?',0,0,1,1,1,1,1,0,0,'?',1,'?',12.0,1,1,1,28.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/1148346587881156097/;'
12.0,10.0,?,'2/5',3.0,1878.0,'Технологический институт',8.0,29800.0,'квартира-студия','Отделка — дизайнерский ремонт','совмещённый',0,1,1,1,1,1,1,0,1,'?',1,'Кирпичное здание',5.0,0,0,1,72.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/3334753212225834496/;'
35.0,13.0,15.0,'3/8',3.0,2023.0,'Пушкинская',6.0,75000.0,'1-комнатные апартаменты','Отделка — дизайнерский ремонт','совмещённый',0,0,1,1,1,1,1,1,0,'Застройщик СК Новая линия',0,'Кирпичное здание',?,1,0,1,?,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/5203055392665165830/;'
36.0,22.0,10.0,'23/25',3.0,2018.0,'Девяткино',9.0,30000.0,'1-комнатная квартира','Отделка — косметический ремонт','совмещённый',1,1,1,1,1,1,1,0,1,'Застройщик Лидер Групп',1,'Кирпично-монолитное здание',2.0,1,1,1,689.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/2097983767506586369/;'
36.0,?,?,'1/3',?,1874.0,'Адмиралтейская',4.0,125500.0,'1-комнатная квартира','Отделка — евроремонт','совмещённый',0,1,1,1,0,1,1,0,1,'?',1,'Кирпичное здание',3.0,0,0,1,11.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/2312299529835657942/;'
?,?,10.0,'2/5',?,1911.0,'Владимирская',6.0,95000.0,'2-комнатная квартира','Отделка — евроремонт','совмещённый',0,1,1,1,0,1,1,1,0,'?',1,'Кирпичное здание',2.0,0,0,1,?,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/8593723129471118733/;'
?,?,?,'9/10',?,2016.0,'Удельная',9.0,68000.0,'1-комнатная квартира','Отделка — дизайнерский ремонт','совмещённый',1,1,1,1,1,1,1,1,1,'Застройщик Bonava',0,'?',?,1,0,0,?,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/8423896129259437057/;'
25.0,?,?,'1/2',?,1916.0,'Площадь Восстания',6.0,45000.0,'квартира-студия','Отделка — евроремонт','совмещённый',0,1,1,1,1,1,1,0,1,'?',1,'Кирпичное здание',?,0,0,1,12.0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/2437009374517086209/;'
22.0,16.0,?,'18/26',?,2021.0,'Пролетарская',8.0,37000.0,'квартира-студия','?','?',0,0,0,0,0,0,0,0,0,'Застройщик ИПС',1,'Монолитное здание',?,1,1,1,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/7904186446725464064/;'
17.0,13.0,?,'1/4',?,1904.0,'Обводный канал',10.0,30000.0,'квартира-студия','?','?',0,0,0,0,0,0,0,0,0,'?',1,'Кирпичное здание',2.0,0,0,1,18.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/6330279923591175605/;'
45.0,?,?,'12/29',?,2022.0,'Купчино',5.0,44990.0,'1-комнатные апартаменты','Отделка — евроремонт','совмещённый',0,0,1,1,1,1,1,0,0,'Застройщик PLG',1,'Монолитное здание',?,1,1,1,?,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/4502810374082064641/;'
14.0,13.0,?,'4/4',?,2020.0,'Площадь Восстания',8.0,34000.0,'квартира-студия','Отделка — косметический ремонт','совмещённый',0,0,1,1,0,0,0,0,1,'?',0,'Кирпичное здание',9.0,0,0,1,37.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/3498518921013997056/;'
20.0,12.0,?,'5/10',?,2020.0,'Лиговский Проспект',8.0,51300.0,'апартаменты-студия','Отделка — дизайнерский ремонт','совмещённый',0,1,1,1,1,1,1,0,1,'Застройщик ГК «Пионер»',1,'?',?,1,1,0,?,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/7038531742989954816/;'
31.0,?,?,'1/3',?,1865.0,'Чернышевская',7.0,39990.0,'квартира-студия','Отделка — евроремонт','совмещённый',0,0,1,1,1,1,1,0,0,'?',1,'Кирпичное здание',5.0,0,0,1,35.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/2097501628387558913/;'
59.0,38.0,7.0,'2/5',3.0,1959.0,'Елизаровская',4.0,33000.0,'3-комнатная квартира','Отделка — косметический ремонт','совмещённый',0,1,1,1,1,1,1,0,1,'?',0,'Панельное здание',3.0,0,0,1,60.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/4706004378010484737/;'
55.0,37.0,9.0,'10/10',?,1994.0,'Проспект Большевиков',10.0,50000.0,'2-комнатная квартира','Отделка — дизайнерский ремонт','раздельный',0,0,1,1,1,1,1,1,1,'?',0,'Панельное здание',3.0,1,1,1,116.0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/3470410526671069184/;'
33.0,?,?,'7/11',?,2015.0,'Фрунзенская',6.0,40000.0,'квартира-студия','Отделка — евроремонт','совмещённый',0,1,1,1,1,1,1,0,1,'Застройщик Лемминкяйнен',1,'Монолитное здание',12.0,1,1,0,757.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/2352918181362568960/;'
?,29.0,4.0,'3/5',?,1961.0,'Звёздная',6.0,40000.0,'2-комнатная квартира','?','?',0,0,0,0,0,0,0,0,0,'?',0,'Кирпичное здание',4.0,0,0,1,64.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/6330279923617954764/;'
29.0,?,?,'3/4',?,2003.0,'Василеостровская',3.0,98000.0,'апартаменты-студия','Отделка — евроремонт','совмещённый',0,1,1,1,0,1,1,0,1,'?',1,'Монолитное здание',?,1,0,1,?,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/6364922392075733018/;'
24.0,21.0,?,'15/18',?,2023.0,'Бухарестская',4.0,42000.0,'апартаменты-студия','?','?',0,0,1,1,1,1,1,0,1,'Застройщики TMG group, ЮИТ',1,'Монолитное здание',?,1,1,1,?,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/6225526135977337460/;'
38.0,?,11.0,'20/26',?,2011.0,'Парнас',10.0,35000.0,'1-комнатная квартира','?','?',0,0,0,0,0,0,0,0,0,'Застройщик Главстрой Регионы',1,'?',5.0,1,1,1,?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/6330279923590903576/;'
52.0,?,?,'3/11',?,2023.0,'Лиговский Проспект',6.0,80000.0,'2-комнатная квартира','Отделка — евроремонт','совмещённый',0,1,1,1,0,1,1,0,1,'Застройщик АртИК',1,'?',?,1,0,1,?,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/7118835491596342327/;'
25.0,19.0,?,'12/29',?,2022.0,'Купчино',5.0,35000.0,'апартаменты-студия','Отделка — косметический ремонт','совмещённый',0,0,1,1,1,1,1,0,0,'Застройщик PLG',1,'Монолитное здание',?,1,1,1,?,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/5635565878278949376/;'
56.0,?,?,'1/5',?,1959.0,'Удельная',5.0,52500.0,'2-комнатная квартира','Отделка — евроремонт','раздельный',0,1,1,1,0,1,1,0,1,'?',1,'Кирпичное здание',4.0,0,0,1,60.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/723576450968698975/;'
100.0,60.0,10.0,'9/24',?,2003.0,'Пионерская',7.0,62000.0,'3-комнатная квартира','Отделка — косметический ремонт','совмещённый',1,0,1,1,1,1,1,0,1,'?',1,'Монолитное здание',12.0,1,1,1,?,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/1607548260183308544/;'
32.0,?,?,'3/4',?,1756.0,'Сенная Площадь',5.0,46000.0,'квартира-студия','Отделка — дизайнерский ремонт','совмещённый',0,0,1,1,1,1,1,1,1,'?',1,'Кирпичное здание',?,0,0,0,36.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/1418412078491393793/;'
26.0,15.0,6.0,'3/5',?,?,'Садовая',5.0,50000.0,'1-комнатная квартира','?','совмещённый',0,0,0,1,0,1,1,0,0,'?',1,'Кирпичное здание',8.0,1,0,1,?,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/3236029302325871535/;'
72.0,30.0,12.0,'16/17',?,2009.0,'Приморская',10.0,70000.0,'2-комнатная квартира','Отделка — дизайнерский ремонт','совмещённый',1,1,1,1,1,1,1,0,0,'?',1,'Кирпичное здание',3.0,1,1,0,547.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/5425694999612174080/;'
55.0,32.0,8.0,'2/5',?,1957.0,'Кировский завод',5.0,32000.0,'2-комнатная квартира','Отделка — косметический ремонт','раздельный',0,0,1,1,1,1,1,0,1,'?',0,'Кирпичное здание',?,0,0,1,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,'https://realty.ya.ru/offer/7178485310120305153/;'
82.0,?,?,'3/5',3.0,1916.0,'Достоевская',6.0,83500.0,'3-комнатная квартира','Отделка — евроремонт','совмещённый',0,1,1,1,0,1,1,0,1,'?',1,'Кирпичное здание',10.0,0,0,1,?,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/8008384822524639968/;'
18.0,?,?,'2/4',?,1899.0,'Маяковская',8.0,46000.0,'квартира-студия','Отделка — евроремонт','совмещённый',0,1,1,1,0,1,1,0,1,'?',1,'Кирпичное здание',?,0,0,1,11.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/2274900600968268964/;'
23.0,?,?,'7/12',3.0,2020.0,'Старая Деревня',9.0,36000.0,'квартира-студия','?','?',0,0,0,0,0,0,0,0,0,'Застройщик Setl Group',1,'Кирпично-монолитное здание',?,1,1,1,?,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/8021889054381623297/;'
45.0,18.0,12.0,'2/4',?,1864.0,'Достоевская',5.0,65000.0,'1-комнатная квартира','Отделка — дизайнерский ремонт','совмещённый',0,0,1,1,1,1,1,1,0,'?',0,'Кирпичное здание',?,0,0,1,20.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/5203055392665168807/;'
29.0,?,?,'17/25',?,2021.0,'Пролетарская',8.0,32000.0,'квартира-студия','Отделка — евроремонт','совмещённый',0,1,0,1,1,1,1,0,0,'Застройщик ИПС',1,'Монолитное здание',?,1,1,1,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/3246972189775249409/;'
21.0,?,?,'3/5',?,1883.0,'Горьковская',5.0,47500.0,'1-комнатная квартира','Отделка — евроремонт','совмещённый',0,1,0,1,0,1,1,0,0,'?',1,'Кирпичное здание',?,0,0,1,8.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/8897864418620095496/;'
15.0,?,?,'1/5',?,1873.0,'Технологический институт',7.0,30000.0,'квартира-студия','Отделка — евроремонт','совмещённый',0,1,1,1,1,1,1,0,0,'?',1,'Кирпичное здание',2.0,1,0,1,36.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/9071309503362465537/;'
39.0,18.0,10.0,'11/26',?,2008.0,'Комендантский проспект',10.0,33000.0,'1-комнатная квартира','Отделка — евроремонт','раздельный',1,0,1,0,1,1,1,0,1,'?',1,'Монолитное здание',8.0,1,1,0,?,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/4851322442674181889/;'
141.0,?,?,'8/24',?,2003.0,'Пионерская',7.0,156500.0,'4-комнатная квартира','Отделка — евроремонт','?',1,1,1,1,0,1,1,1,1,'?',1,'Монолитное здание',12.0,1,1,1,?,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/5773463187366674981/;'
25.0,?,?,'10/12',?,2022.0,'Автово',10.0,33000.0,'апартаменты-студия','Отделка — дизайнерский ремонт','совмещённый',0,0,1,1,1,1,1,0,1,'Застройщик Петербургская Строительная Компания',1,'Кирпично-монолитное здание',?,1,0,1,?,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/5395751353505758977/;'
